Type,Processed_Content,Most_Common_Words,Summary,Sentiment
Paragraph,"hezbollah also say it ha fire rocket at haifa in israel , while isra air strike reportedli kill a hama leader in northern lebanon .","[('in', 2), ('hezbollah', 1), ('also', 1), ('say', 1), ('it', 1)]", hezbollah also say it ha fire rocket at haifa in israel . while isra air strike reportedli kill a hama leader in northern lebanon .,"{'label': 'NEGATIVE', 'score': 0.989891529083252}"
Paragraph,there have been mani moment of extrem danger over the past year . thi is the worst .,"[('the', 2), ('.', 2), ('there', 1), ('have', 1), ('been', 1)]", There have been mani moments of extrem danger over the past year . thi is the worst . there have been moments of extreme danger .,"{'label': 'NEGATIVE', 'score': 0.9994064569473267}"
Paragraph,stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 .,"[('in', 2), ('the', 2), ('stefan', 1), ('norblin', 1), ('paint', 1)]", stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 . The mural was created in the style for the Maharaja of India in 1940 .,"{'label': 'POSITIVE', 'score': 0.9973188042640686}"
Paragraph,the singer say she wa `` heartbroken '' by the destruct wrought in the u by the power storm .,"[('the', 4), ('``', 2), ('by', 2), ('singer', 1), ('say', 1)]", the singer say she was ''heartbroken '' by the destruct wrought in the storm . the singer says she was 'heartbroken' by the destruction wrought by the power storm .,"{'label': 'NEGATIVE', 'score': 0.9884459972381592}"
Paragraph,"almost a year after a fake clip of a high school princip went viral , the impact on an american town linger .","[('a', 3), ('almost', 1), ('year', 1), ('after', 1), ('fake', 1)]"," A fake clip of a high school principal went viral a year ago . The impact on an american town linger . almost a year after a fake clip went viral, the impact on the town still linger .","{'label': 'POSITIVE', 'score': 0.8621326684951782}"
Paragraph,there have been mani moment of extrem danger over the past year . thi is the worst .,"[('the', 2), ('.', 2), ('there', 1), ('have', 1), ('been', 1)]", There have been mani moments of extrem danger over the past year . thi is the worst . there have been moments of extreme danger .,"{'label': 'NEGATIVE', 'score': 0.9994064569473267}"
Paragraph,"investig found a seri of safeti failur follow the accid , leav the countri shock .","[('the', 2), ('investig', 1), ('found', 1), ('a', 1), ('seri', 1)]"," Investigation found a seri of safeti failur follow the accid , leav the countri shock . Investigated found a . seri found a Seri of . safetri failur followed the . accid, leav . Leav the . shock .","{'label': 'NEGATIVE', 'score': 0.991531252861023}"
Paragraph,"a year sinc score of peopl were kill here , the collect is splinter - psycholog and physic .","[('a', 1), ('year', 1), ('sinc', 1), ('score', 1), ('of', 1)]"," The collect is splinter - psycholog and physic . a year sinc score of peopl were kill here , the collect is a splinter . Psychologists and psychologists are a key part of the collection .","{'label': 'NEGATIVE', 'score': 0.993060827255249}"
Paragraph,greg smith went viral with hi account of the assassin attempt in pennsylvania . he speak again to the bbc .,"[('the', 2), ('.', 2), ('greg', 1), ('smith', 1), ('went', 1)]", greg smith went viral with hi account of the assassin attempt in pennsylvania . he speak again to the bbc . He speaks again to discuss the attempt to kill an assassin in Pennsylvania .,"{'label': 'NEGATIVE', 'score': 0.7702133655548096}"
Paragraph,stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 .,"[('in', 2), ('the', 2), ('stefan', 1), ('norblin', 1), ('paint', 1)]", stefan norblin paint beauti mural in the art deco style for indian maharaja in the 1940 . The mural was created in the style for the Maharaja of India in 1940 .,"{'label': 'POSITIVE', 'score': 0.9973188042640686}"
Paragraph,the world health organis say at least 37 facil have shut and dozen of medic staff have die .,"[('have', 2), ('the', 1), ('world', 1), ('health', 1), ('organis', 1)]", World Health Organisation say at least 37 facil have shut and dozen of medic staff have died . The world health Organisation say 37 facel have shut . At least a dozen medic staff members have died in the past .,"{'label': 'NEGATIVE', 'score': 0.9993641972541809}"
Paragraph,"address a vast crowd in tehran , ayatollah khamenei say the attack were the `` minimum punish '' .","[('the', 2), ('``', 2), ('address', 1), ('a', 1), ('vast', 1)]"," ayatollah khamenei say the attack were the '' minimum punish '' . address a vast crowd in tehran , address a huge crowd of tehran . Ayatollah says the attack was the ""minimum punish"" for Iran .","{'label': 'POSITIVE', 'score': 0.8814147114753723}"
Paragraph,"social medium user express a mixtur of pride , uncertainti and fear after iran 's strike on israel .","[('social', 1), ('medium', 1), ('user', 1), ('express', 1), ('a', 1)]"," social medium user express a mixtur of pride , uncertainti and fear after iran 's strike on israel . social medium users express a mixture of pride and fear .","{'label': 'POSITIVE', 'score': 0.9574978351593018}"
Paragraph,"they were film on the isra side of the border , close to where clash had been report .","[('the', 2), ('they', 1), ('were', 1), ('film', 1), ('on', 1)]"," they were film on the isra side of the border , close to where clash had been reported . they were filming on the Israeli side of border . Close to where clashes had been report .","{'label': 'NEGATIVE', 'score': 0.9419960975646973}"
Paragraph,israel 's militari say the cross point with syria wa be use by hezbollah to smuggl in weapon .,"[('israel', 1), (""'s"", 1), ('militari', 1), ('say', 1), ('the', 1)]", israel 's militari say the cross point with syria wa be use by hezbollah to smuggl in weapon . is Israel 's say it could be used by he Hezbollah .,"{'label': 'NEGATIVE', 'score': 0.996187150478363}"
Paragraph,plan announc by offici spark a stock market ralli but economist are unsur it is enough .,"[('plan', 1), ('announc', 1), ('by', 1), ('offici', 1), ('spark', 1)]", Plan announc by offici spark a stock market ralli but economist are unsur it is enough . Plan announced by officials sparks stock market rally . But economist say it is not enough .,"{'label': 'NEGATIVE', 'score': 0.9815394282341003}"
Paragraph,ricciardo leav f1 a one of it most success and popular driver and a legend of australian sport .,"[('a', 2), ('of', 2), ('and', 2), ('ricciardo', 1), ('leav', 1)]", ricciardo will leave the Formula One team . He is one of the most successful drivers in Formula One history . Ricciardo is a legend of Australian sport and a legend in the sport .,"{'label': 'POSITIVE', 'score': 0.9997912049293518}"
Paragraph,to what extent is the advic given on maf similar to the therapi that happen in a real counsel room ?,"[('to', 2), ('the', 2), ('what', 1), ('extent', 1), ('is', 1)]", to what extent is the advic given on maf similar to the therapi that happen in a real counsel room ? ? ? . .,"{'label': 'NEGATIVE', 'score': 0.9967541098594666}"
Paragraph,presid mahamat débi is get closer to moscow with the u and franc nervous look on .,"[('presid', 1), ('mahamat', 1), ('débi', 1), ('is', 1), ('get', 1)]", presid mahamat débi is get closer to moscow with the u and franc nervous look on . The French president is getting closer to the U.S. presid with a nervous look .,"{'label': 'POSITIVE', 'score': 0.9846752285957336}"
Paragraph,"the mood in butler , pennsylvania , is a mixtur of guilt and grief ahead of trump 's return .","[(',', 2), ('of', 2), ('the', 1), ('mood', 1), ('in', 1)]"," The mood in butler , pennsylvania , is a mixtur of guilt and grief ahead of trump 's return . the mood in . pennsylvania . is a mixture of grief and guilt ahead of the . return .","{'label': 'POSITIVE', 'score': 0.9900435209274292}"
Paragraph,ricciardo leav f1 a one of it most success and popular driver and a legend of australian sport .,"[('a', 2), ('of', 2), ('and', 2), ('ricciardo', 1), ('leav', 1)]", ricciardo will leave the Formula One team . He is one of the most successful drivers in Formula One history . Ricciardo is a legend of Australian sport and a legend in the sport .,"{'label': 'POSITIVE', 'score': 0.9997912049293518}"
Paragraph,"there are no set rule when it come to tip but here 's what hospit staff , custom and expert have to say .","[('to', 2), ('there', 1), ('are', 1), ('no', 1), ('set', 1)]"," There are no set rules when it comes to tip but here 's what hospit staff , custom and expert have to say . Hospit staff say there is no set rule when it come to tip .","{'label': 'NEGATIVE', 'score': 0.8150317072868347}"
Paragraph,"more than 90 year after it first test match , india boast more victori in the format than loss .","[('more', 2), ('than', 2), ('90', 1), ('year', 1), ('after', 1)]"," more than 90 year after it first test match, india boast more victori in the format than loss . india boasts more wins than loss in the test format than any other country .","{'label': 'POSITIVE', 'score': 0.9989842772483826}"
Paragraph,to what extent is the advic given on maf similar to the therapi that happen in a real counsel room ?,"[('to', 2), ('the', 2), ('what', 1), ('extent', 1), ('is', 1)]", to what extent is the advic given on maf similar to the therapi that happen in a real counsel room ? ? ? . .,"{'label': 'NEGATIVE', 'score': 0.9967541098594666}"
Paragraph,the doughi drama ha left foodi and influenc scratch their head in australia .,"[('the', 1), ('doughi', 1), ('drama', 1), ('ha', 1), ('left', 1)]", the doughi drama ha left foodi and influenc scratch their head in australia . The doughi saga has left people scratching their heads in Australia .,"{'label': 'NEGATIVE', 'score': 0.999503493309021}"
Paragraph,"trump slam fema for spend money on migrant , but the agenc say those fund did not come from it hurrican relief .","[('trump', 1), ('slam', 1), ('fema', 1), ('for', 1), ('spend', 1)]", The agenc say those fund did not come from it hurrican relief . trump slam fema for spend money on migrant . But the agenc says those fund came from ithurrican relief funds .,"{'label': 'NEGATIVE', 'score': 0.9951668977737427}"
Paragraph,the largest solar flare sinc 2017 ha been spot erupt from the sun ’ s surfac .,"[('the', 2), ('largest', 1), ('solar', 1), ('flare', 1), ('sinc', 1)]", The largest solar flare sinc 2017 ha been spot erupts from the sun ’ s surfac . The sun’s biggest solar flare was the largest flare in 2017 .,"{'label': 'NEGATIVE', 'score': 0.9931305050849915}"
Paragraph,"the eleph were evacu from flash flood at a sanctuari near chiang mai , thailand .","[('the', 1), ('eleph', 1), ('were', 1), ('evacu', 1), ('from', 1)]"," Flood victims were evacuated from a sanctuari near chiang mai, thailand . They were evacuuated from flash flood at a sanctuaryuari . Flood victims had to be evacuated from the sanctuary .","{'label': 'NEGATIVE', 'score': 0.9406397342681885}"
Paragraph,lack of test and delay in get the result have made curb the viru 's spread harder .,"[('the', 2), ('lack', 1), ('of', 1), ('test', 1), ('and', 1)]", Lack of test and delay in get the result have made curb the viru 's spread harder . lack of test has made curbing the spread of viru harder .,"{'label': 'NEGATIVE', 'score': 0.9989368319511414}"
Paragraph,"trump slam fema for spend money on migrant , but the agenc say those fund did not come from it hurrican relief .","[('trump', 1), ('slam', 1), ('fema', 1), ('for', 1), ('spend', 1)]", The agenc say those fund did not come from it hurrican relief . trump slam fema for spend money on migrant . But the agenc says those fund came from ithurrican relief funds .,"{'label': 'NEGATIVE', 'score': 0.9951668977737427}"
Paragraph,more peopl are be prosecut for danger drive thank to a huge increas in footag submit to polic by the public .,"[('to', 2), ('more', 1), ('peopl', 1), ('are', 1), ('be', 1)]", More people are being prosecuted for danger drive thanks to a huge increase in footag submissions submitted to police by the public . Footag submissions have increased in recent years thanks to increased public support .,"{'label': 'NEGATIVE', 'score': 0.9985847473144531}"
Paragraph,admir sir ben key said : `` we must be better than thi and do better than we have . '',"[('``', 2), ('we', 2), ('better', 2), ('than', 2), ('admir', 1)]", admir sir ben key said: 'We must be better than thi and do better than we have' admir Sir Ben key said .,"{'label': 'POSITIVE', 'score': 0.9905028343200684}"
Paragraph,the largest solar flare sinc 2017 ha been spot erupt from the sun ’ s surfac .,"[('the', 2), ('largest', 1), ('solar', 1), ('flare', 1), ('sinc', 1)]", The largest solar flare sinc 2017 ha been spot erupts from the sun ’ s surfac . The sun’s biggest solar flare was the largest flare in 2017 .,"{'label': 'NEGATIVE', 'score': 0.9931305050849915}"
Paragraph,follow live a crystal palac host liverpool in the first of seven premier leagu game on saturday .,"[('follow', 1), ('live', 1), ('a', 1), ('crystal', 1), ('palac', 1)]", Crystal palac host liverpool in the first of seven premier leagu game on saturday . follow live a crystal palac v. liverpool v. Liverpool v. Manchester United v. Portsmouth v. Queens Park Rangers v. Lincoln Park .,"{'label': 'POSITIVE', 'score': 0.988778293132782}"
Paragraph,england captain ben stoke is out of the first test against pakistan after fail to recov from a hamstr injuri in time .,"[('england', 1), ('captain', 1), ('ben', 1), ('stoke', 1), ('is', 1)]", England captain ben stoke is out of the first test against pakistan after failing to recov from a hamstr injuri in time .,"{'label': 'NEGATIVE', 'score': 0.9852961897850037}"
Paragraph,"follow live text & score updat from 10 game in the championship , includ three match at 12:30 bst .","[('follow', 1), ('live', 1), ('text', 1), ('&', 1), ('score', 1)]"," Follow live text & score updates from 10 game in the championship , includ three match at 12:30 bst . follow live text and score updates .","{'label': 'NEGATIVE', 'score': 0.9686644673347473}"
Paragraph,"follow live text and radio commentari , score updat and match stat from brighton & hove albion v aston villa in the woman 's super leagu .","[('and', 2), ('follow', 1), ('live', 1), ('text', 1), ('radio', 1)]"," brighton & hove albion v aston villa in the woman 's super leagua . follow live text and radio commentari , score updat and match stat updates .","{'label': 'NEGATIVE', 'score': 0.8987293839454651}"
Paragraph,fourth seed coco gauff come from a set and a break down to beat paula badosa and reach her first china open final .,"[('a', 2), ('and', 2), ('fourth', 1), ('seed', 1), ('coco', 1)]", fourth seed coco gauff come from a set and a break down to beat paula badosa and reach her first china open final .,"{'label': 'POSITIVE', 'score': 0.9948899745941162}"
Paragraph,england captain ben stoke is out of the first test against pakistan after fail to recov from a hamstr injuri in time .,"[('england', 1), ('captain', 1), ('ben', 1), ('stoke', 1), ('is', 1)]", England captain ben stoke is out of the first test against pakistan after failing to recov from a hamstr injuri in time .,"{'label': 'NEGATIVE', 'score': 0.9852961897850037}"
Paragraph,"follow live text , in-play video clip and radio commentari a australia face sri lanka in the t20 world cup in sharjah .","[('in', 2), ('follow', 1), ('live', 1), ('text', 1), (',', 1)]", Australia take on Sri Lanka in the t20 world cup in sharjah . Australia play Sri Lanka at the World Cup in the UAE . Australia face Sri Lanka for the first time in the tournament .,"{'label': 'NEGATIVE', 'score': 0.9692991971969604}"
Paragraph,manchest unit co-own sir jim ratcliff say the futur of under-pressur manag erik ten hag is `` not my call '' .,"[('``', 2), ('manchest', 1), ('unit', 1), ('co-own', 1), ('sir', 1)]", manchest unit co-own sir jim ratcliff say the futur of under-pressur management is 'not my call',"{'label': 'NEGATIVE', 'score': 0.9995561242103577}"
Paragraph,"follow live text & score updat from 10 game in the championship , includ three match at 12:30 bst .","[('follow', 1), ('live', 1), ('text', 1), ('&', 1), ('score', 1)]"," Follow live text & score updates from 10 game in the championship , includ three match at 12:30 bst . follow live text and score updates .","{'label': 'NEGATIVE', 'score': 0.9686644673347473}"
Paragraph,copyright 2024 bbc . all right reserved.thebbcisnot respons for the content of extern sites.read about our approach to extern link .,"[('.', 2), ('extern', 2), ('copyright', 1), ('2024', 1), ('bbc', 1)]", The BBC is not responsible for the content of extern sites . Read about our approach to extern link . The BBC does not have responsibility for ex-ex-existing links .,"{'label': 'NEGATIVE', 'score': 0.8205369114875793}"
